               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8007,              3.5082,              1.9793,             0.63286,               0.515,             0.55935,             0.34558,                   0,                   0,                   0,            0.070117,           0.0033203,           0.0033203
                   1,              1.6845,              2.1151,              1.8035,             0.60715,             0.50858,             0.51464,             0.33021,                   0,                   0,                   0,            0.040051,           0.0065878,           0.0065878
                   2,              1.7788,              2.1419,              1.8629,             0.43864,             0.39013,             0.36443,              0.2083,                   0,                   0,                   0,           0.0099194,           0.0097892,           0.0097892
                   3,              1.9318,               2.334,              1.9676,             0.54278,             0.40793,             0.42021,             0.23902,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.8997,              2.1936,              1.9487,             0.64706,             0.46185,             0.50749,             0.30696,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.8482,              2.0717,              1.9102,             0.62601,             0.51767,             0.57823,             0.35375,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.7962,              1.9698,              1.8735,              0.6338,             0.54378,             0.59246,             0.37056,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.7635,              1.8964,               1.849,             0.70724,             0.60358,             0.68344,             0.43734,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,               1.728,              1.8183,              1.8211,             0.66581,             0.52214,             0.59846,             0.38312,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.7204,              1.7692,               1.822,             0.67094,             0.63202,             0.68071,             0.43743,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.6881,              1.7238,              1.7927,             0.70955,             0.65123,             0.71676,             0.46605,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.6612,              1.6601,               1.773,             0.73662,             0.64049,             0.72507,             0.47923,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.6482,               1.633,              1.7726,             0.72275,             0.65206,             0.72164,             0.47436,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.6362,              1.5945,              1.7566,             0.69138,             0.68169,             0.73312,             0.47685,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.6227,               1.569,              1.7352,             0.74081,              0.6522,             0.74186,             0.48633,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,               1.611,              1.5505,              1.7419,             0.72885,             0.65236,             0.72886,             0.49032,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.5926,              1.5097,              1.7277,             0.76229,             0.69178,             0.77583,              0.5254,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.5793,              1.4791,              1.7213,             0.75752,              0.7062,             0.78314,             0.52868,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.5677,              1.4432,              1.7094,             0.74593,             0.66181,             0.75071,             0.51598,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.5501,              1.4258,              1.6998,             0.78162,              0.6972,              0.7945,             0.54217,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.5439,              1.4136,               1.684,             0.75237,             0.69756,               0.772,             0.52753,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.5409,              1.3911,              1.6785,             0.74749,             0.71276,             0.77812,             0.53917,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.5271,               1.377,              1.6755,             0.77229,             0.71773,             0.79947,             0.54828,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.5176,              1.3462,              1.6634,             0.78408,             0.73707,             0.81727,             0.56526,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.5043,              1.3441,              1.6658,             0.77115,             0.75987,             0.81696,             0.56739,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.4867,              1.3179,              1.6494,             0.78161,              0.7207,             0.80138,             0.56178,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.4903,              1.3219,              1.6602,             0.79648,             0.72295,             0.81643,             0.56704,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.4707,              1.2805,              1.6461,             0.79368,              0.7242,             0.81353,             0.56801,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               1.471,               1.271,              1.6353,             0.77372,             0.75476,             0.82396,             0.57947,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.4653,              1.2548,              1.6436,             0.80445,             0.75771,             0.83768,             0.59263,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.4567,              1.2477,              1.6341,             0.80848,             0.73106,             0.82109,             0.57713,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.4515,              1.2295,              1.6273,              0.8135,             0.74468,             0.83774,             0.59191,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.4393,               1.218,              1.6131,              0.8161,             0.73962,             0.83799,             0.59349,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.4359,              1.1872,              1.6196,             0.78992,             0.75803,             0.84032,              0.5949,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,               1.423,              1.1845,              1.6029,             0.82953,             0.74251,             0.83886,             0.59397,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,                1.41,               1.175,              1.5994,             0.83179,             0.74867,             0.83525,             0.59663,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.4062,              1.1566,              1.5929,             0.82882,             0.74603,             0.83982,             0.59926,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.4024,              1.1469,              1.5889,             0.81278,              0.7703,             0.84851,             0.60743,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.3963,              1.1262,              1.5849,             0.79232,              0.7823,             0.84768,             0.60343,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.3969,              1.1345,              1.5941,             0.81683,             0.76652,             0.85258,             0.60937,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.3844,               1.116,              1.5813,             0.81365,             0.76959,             0.84758,             0.61032,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
